';
update han_levels  set total='20' where hanja='襭';';
';
한자	대표훈음	부수';
家	집 가	宀';
歌	노래 가	欠';
價	값 가	人';
加	더할 가	力';
可	옳을 가:	口';
假	거짓 가:	人';
街	거리 가(:)	行';
暇	틈/겨를 가:	日';
佳	아름다울 가:	人';
架	시렁 가:	木';
柯	가지 가	木';
賈	성(姓) 가 | 장사 고	貝';
軻	수레/사람이름 가	車';
迦	부처이름 가	辵';
伽	절 가	人';
嘉	아름다울 가	口';
呵	꾸짖을 가:	口';
嫁	시집갈 가	女';
稼	심을 가	禾';
苛	가혹할 가:	艸';
袈	가사(袈裟) 가	衣';
駕	멍에 가(:)	馬';
哥	성(姓) 가	口';
痂	헌데딱지 가	疒';
珂	옥이름 가	玉';
茄	가지 가	艸';
訶	꾸짖을 가	言';
跏	책상다리할 가	足';
枷	칼/도리깨 가	木';
斝	옥잔 가	斗';
葭	갈대 가 | 멀 하	艸';
檟	가나무 가	木';
哿	가할 가:	口';
珈	머리꾸미개 가	玉';
各	각각 각	口';
角	뿔 각	角';
刻	새길 각	刀';
覺	깨달을 각	見';
脚	다리 각	肉';
閣	집 각	門';
却	물리칠 각	卩';
珏	쌍옥 각	玉';
恪	삼갈 각	心';
殼	껍질 각	殳';
慤	정성/삼갈 각	心';
桷	서까래 각	木';
卻	물리칠 각	卩';
間	사이 간(:)	門';
簡	대쪽/간략할 간(:)	竹';
看	볼 간	目';
干	방패 간	干';
刊	새길 간	刀';
幹	줄기 간	干';
懇	간절할 간:	心';
肝	간 간(:)	肉';
姦	간음할 간:	女';
杆	몽둥이 간	木';
艮	괘이름 간	艮';
奸	간사할 간	女';
墾	개간할 간	土';
澗	산골물 간:	水';
癎	간질 간(:)	疒';
竿	낚싯대 간	竹';
艱	어려울 간	艮';
諫	간할 간:	言';
揀	가릴 간:	手';
稈	볏짚 간	禾';
磵	시내[澗] 간:	石';
桿	막대 간	木';
柬	가릴 간	木';
侃	강직할 간:	人';
蕑	난초/연밥 간	艸';
玕	옥돌 간	玉';
榦	줄기 간 | 우물난간 한	木';
瞯	엿볼 간: | 곁눈질할 한:	目';
衎	즐길/곧을 간	行';
渴	목마를 갈	水';
葛	칡 갈	艸';
鞨	오랑캐이름 갈	革';
喝	꾸짖을 갈	口';
竭	다할 갈	立';
褐	갈색/굵은베 갈	衣';
碣	비석 갈	石';
曷	어찌 갈	曰';
乫	땅이름 갈	乙';
蝎	전갈 갈	虫';
秸	볏짚 갈	禾';
感	느낄 감:	心';
減	덜 감:	水';
監	볼 감	皿';
甘	달 감	甘';
敢	감히/구태여 감:	攴';
鑑	거울 감	金';
憾	섭섭할 감:	心';
堪	견딜 감	土';
柑	귤 감	木';
疳	감질 감	疒';
瞰	굽어볼 감	目';
紺	감색/연보라 감	糸';
勘	헤아릴 감	力';
嵌	끼울 감	山';
坎	구덩이 감	土';
橄	감람나무 감	木';
鑒	거울[鑑] 감	金';
戡	이길 감	戈';
龕	감실 감	龍';
矙	엿볼 감:	目';
欿	서운할 감:	欠';
减	덜 감:	冫';
酣	술즐길 감	酉';
歛	바랄 감	欠';
甲	갑옷 갑	田';
鉀	갑옷 갑	金';
岬	곶(串) 갑	山';
匣	갑(匣) 갑	匚';
閘	수문 갑	門';
胛	어깻죽지 갑	肉';
江	강 강	水';
強	강할 강(:)	弓';
講	욀 강:	言';
康	편안 강	广';
降	내릴 강: | 항복할 항	阜';
剛	굳셀 강	刀';
綱	벼리 강	糸';
鋼	강철 강	金';
姜	성(姓) 강	女';
崗	언덕 강	山';
疆	지경 강	田';
岡	산등성이 강	山';
彊	굳셀 강	弓';
腔	속빌 강	肉';
慷	슬플 강:	心';
糠	겨 강	米';
薑	생강 강	艸';
絳	짙게붉을 강:	糸';
羌	오랑캐 강	羊';
鱇	아귀 강	魚';
畺	지경[疆] 강	田';
强	강할[強] 강(:)	弓';
堈	독 강	土';
舡	배 강	舟';
襁	포대기 강	衣';
橿	참죽나무 강	木';
杠	깃대 강	木';
開	열 개	門';
改	고칠 개(:)	攴';
個	낱 개(:)	人';
槪	대개 개:	木';
介	낄 개:	人';
蓋	덮을 개(:)	艸';
皆	다[總] 개	白';
慨	슬퍼할 개:	心';
价	클 개:	人';
塏	높은땅 개:	土';
愾	성낼 개:	心';
漑	물댈 개:	水';
凱	개선할 개:	几';
箇	낱 개(:)	竹';
芥	겨자 개	艸';
疥	옴 개	疒';
盖	덮을[蓋] 개(:)	皿';
鎧	갑옷 개:	金';
愷	즐거울 개:	心';
湝	물흐를 개	水';
喈	새소리/빠를 개	口';
槩	평미레 개:	木';
玠	큰홀 개	玉';
嘅	탄식할 개	口';
客	손 객	宀';
喀	토할 객	口';
坑	구덩이 갱	土';
羹	국 갱:	羊';
粳	메벼 갱	米';
鏗	금석소리 갱	金';
賡	이을 갱	貝';
硜	돌소리 갱	石';
秔	메벼 갱	禾';
臄	순대 갹	肉';
車	수레 거 | 수레 차	車';
擧	들 거:	手';
去	갈 거:	厶';
拒	막을 거:	手';
居	살 거	尸';
據	근거 거:	手';
巨	클 거:	工';
距	상거(相距)할 거:	足';
醵	추렴할 거: | 추렴할 갹	酉';
渠	개천 거	水';
倨	거만할 거:	人';
踞	걸어앉을 거:	足';
炬	횃불 거:	火';
遽	급할 거:	辵';
鋸	톱 거:	金';
鉅	톱/클 거:	金';
祛	떨어없앨 거	示';
据	일할/의거할 거	手';
虡	쇠북걸이틀 거	虍';
籧	대자리 거	竹';
筥	광주리 거: | 밥통 려:	竹';
蘧	패랭이꽃 거	艸';
莒	나라이름 거	艸';
琚	패옥 거	玉';
秬	검은기장 거	禾';
袪	소매 거:	衣';
椐	느티나무 거	木';
件	물건 건	人';
建	세울 건:	廴';
健	굳셀 건:	人';
乾	하늘/마를 건	乙';
鍵	자물쇠/열쇠 건:	金';
巾	수건 건	巾';
腱	힘줄 건	肉';
虔	공경할 건:	虍';
愆	허물 건	心';
楗	문빗장 건	木';
騫	이지러질 건	馬';
蹇	절 건	足';
褰	걷을 건	衣';
傑	뛰어날 걸	人';
乞	빌 걸	乙';
桀	하(夏)왕이름 걸	木';
杰	뛰어날 걸	木';
朅	떠날 걸	曰';
檢	검사할 검:	木';
儉	검소할 검:	人';
劍	칼 검:	刀';
鈐	자물쇠 검	金';
瞼	눈시울 검	目';
黔	검을 검	黑';
劒	칼 검:	刀';
怯	겁낼 겁	心';
劫	위협할 겁	力';
迲	자래[單位] 겁	辵';
跲	엎드러질 겁	足';
憩	쉴 게:	心';
揭	높이들[擧]/걸[掛] 게:	手';
偈	불시(佛詩) 게:	人';
愒	쉴 게 | 탐할 개	心';
格	격식 격	木';
擊	칠[打] 격	手';
激	격할 격	水';
隔	사이뜰 격	阜';
檄	격문(檄文) 격	木';
膈	가슴 격	肉';
覡	박수[男巫] 격	見';
綌	굵은갈포 격	糸';
繳	주살 격 | 동일 교	糸';
鵙	왜가리 격	鳥';
鴃	왜가리 격	鳥';
見	볼 견: | 뵈올 현:	見';
堅	굳을 견	土';
犬	개 견	犬';
遣	보낼 견:	辵';
肩	어깨 견	肉';
絹	비단 견	糸';
牽	이끌/끌 견	牛';
甄	질그릇 견	瓦';
繭	고치 견:	糸';
譴	꾸짖을 견:	言';
鵑	두견새 견	鳥';
豣	돼지/노루 견	豕';
睊	흘겨볼 견	目';
獧	뛸 견: | 급할 현:	犬';
岍	산이름 견	山';
蠲	덜/정결할 견	虫';
繾	곡진할 견:	糸';
畎	밭고랑 견	田';
狷	고집스러울 견	犬';
結	맺을 결	糸';
決	결단할 결	水';
潔	깨끗할 결	水';
缺	이지러질 결	缶';
訣	이별할 결	言';
抉	도려낼 결	手';
袺	옷섶잡을 결	衣';
闋	마칠 결	門';
觼	쇠고리 결	角';
兼	겸할 겸	八';
謙	겸손할 겸	言';
鎌	낫 겸	金';
慊	앙심먹을 겸 | 족할 협	心';
鉗	집게 겸	金';
箝	재갈 겸	竹';
歉	흉년들 겸	欠';
蒹	갈대 겸	艸';
京	서울 경	亠';
敬	공경 경:	攴';
輕	가벼울 경	車';
競	다툴 경:	立';
景	볕 경(:)	日';
境	지경 경	土';
經	지날/글 경	糸';
警	깨우칠 경:	言';
慶	경사 경:	心';
驚	놀랄 경	馬';
更	고칠 경 | 다시 갱:	曰';
傾	기울 경	人';
鏡	거울 경:	金';
頃	이랑/잠깐 경	頁';
徑	지름길/길 경	彳';
硬	굳을 경	石';
耕	밭갈[犁田] 경	耒';
卿	벼슬 경	卩';
庚	별 경	广';
竟	마침내 경:	立';
璟	옥빛 경:	玉';
儆	경계할 경:	人';
瓊	구슬 경	玉';
炅	빛날 경	火';
勁	굳셀 경	力';
鯨	고래 경	魚';
憬	깨달을/동경할 경:	心';
頸	목 경	頁';
莖	줄기 경	艸';
脛	정강이 경	肉';
磬	경쇠 경:	石';
痙	경련(痙攣) 경	疒';
梗	줄기/막힐 경:	木';
倞	굳셀 경	人';
勍	굳셀 경	力';
涇	물이름 경	水';
逕	길 경	辵';
耿	빛날 경	耳';
絅	당길/홑옷 경:	糸';
擎	받들 경	手';
俓	지름길[徑] 경	人';
坰	들[野] 경	土';
暻	밝을 경	日';
璥	옥이름 경	玉';
罄	다할 경:	缶';
睘	놀라서볼 경	目';
鶊	꾀꼬리 경	鳥';
牼	소정강이뼈 경	牛';
冂	멀 경	冂';
黥	자자(刺字)할 경	黑';
褧	홑옷 경	衣';
熲	빛날 경	火';
焭	외로울 경	火';
煢	외로울 경	火';
檠	등잔걸이 경	木';
